thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6D9-pq	build-install-reconfigure-lock-D9-pq	unbadged	build-infra	build-install-reconfigure-lock	Makefile holds layout validation, source identity, Meson reconfiguration, and installation inside one flock transaction	closed	Inspect the install recipe and require every build-directory mutation to occur while BUILD_LOCK is held	offline-source-history	build-infra/Makefile#L1442-L1472	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Meson reconfiguration or installation can mutate the build directory outside BUILD_LOCK	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6D9-pu	build-pair-install-target-retirement-D9-pu	unbadged	build-infra	build-pair-install-target-retirement	Canonical profile consolidation removed install-terakan-distcc-no-rusticl-ccache-no-pump-pair and its PHONY obligation	closed	Confirm the reviewed target is absent and current profiles expose independently named build and install paths	offline-source-history	build-infra/Makefile#L398-L426;build-infra/Makefile#L3291-L3375	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The retired pair target returns without PHONY coverage or a replacement repeats the name collision	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6D-RLW	build-install-reconfigure-status-D-RLW	unbadged	build-infra	build-install-reconfigure-status	The install recipe uses set -euo pipefail and an explicit Meson setup failure branch before identity publication or installation	closed	Trace Meson setup failure to an immediate nonzero exit before meson install	offline-source-history	build-infra/Makefile#L1442-L1472	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A failed Meson reconfiguration can continue into meson install	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6D-SVg	build-install-dat-pickle-retirement-D-SVg	P1	build-infra	build-install-dat-pickle-retirement	The install recipe no longer deserializes meson-private/install.dat and instead validates repository-owned source identity around reconfiguration	closed	Scan the install path for pickle or install.dat reads and require repository-owned identity validation	offline-source-history	build-infra/Makefile#L1442-L1472	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The install path again unpickles mutable build-directory metadata	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6D-Wag	build-install-dat-prefix-probe-retirement-D-Wag	unbadged	build-infra	build-install-dat-prefix-probe-retirement	The install.dat prefix probe was removed; Meson receives the validated prefix directly and source identity gates installation	closed	Confirm no unreadable install.dat path is collapsed into a false prefix mismatch diagnostic	offline-source-history	build-infra/Makefile#L1442-L1472	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A build metadata read failure is again reported as a prefix mismatch and installation can continue	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6EF0s8	terakan-umul24-public-reference-EF0s8	unbadged	terakan-nir	terakan-umul24-public-reference	The source header cites the AMD Evergreen ISA by document and instruction names without internal or nonexistent repository paths	closed	Inspect every reference in the file header and require a public authority or tracked in-tree target	offline-source-history	src/amd/terascale/vulkan/nir/terakan_nir_lower_24bit_mul_hint.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The header again cites an absent internal path or unresolvable authority	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6ELsI1	build-distcc-pump-policy-retirement-ELsI1	unbadged	build-infra	build-distcc-pump-policy-retirement	The pump lane is explicitly historical because upstream distcc-pump support was removed; the active WSL worker belongs to the no-pump lane	closed	Confirm active build instructions do not rely on the retired DESKTOP hostname gate	offline-source-history	build-infra/x130e-distcc-pump.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An active pump lane returns with prose broader than its hostname selector	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6ELsJY	build-distcc-pump-readme-retirement-ELsJY	unbadged	build-infra	build-distcc-pump-readme-retirement	README states that distcc-pump profiles and Make targets were removed and routes remaining notes to historical provenance	closed	Confirm README exposes no active DESKTOP or WSL pump participation contract	offline-source-history	build-infra/README.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	README again advertises an active pump contract that disagrees with its selector	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6ENfNy	build-rust-toolchain-image-pin-ENfNy	unbadged	build-infra	build-rust-toolchain-image-pin	rust-toolchain.toml and .gitlab-ci/container/build-rust.sh both select Rust 1.96.0	closed	Parse both canonical pins and require exact version equality	offline-source-history	rust-toolchain.toml;.gitlab-ci/container/build-rust.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The workspace pin differs from the CI image toolchain and forces an ambient download	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6EPmB-	sfn-local-constraint-rollback-signal-EPmB-	unbadged	r600-sfn	sfn-local-constraint-rollback-signal	kcache_rollback restores only KCACHE state and deliberately preserves local_group_constraint_failed until schedule_alu consumes it	closed	Trace every speculative rollback after vector rejection and require the split signal to survive	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A caller rollback erases a local group rejection before clause splitting	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
