"thread_id"	"thread_created_at"	"review_url"	"review_path"	"original_line"	"claim_heading"	"status_at_capture"	"falsifier"	"resolution_state"	"relationship"	"source_change_commit"	"evidence_kind"	"evidence_commit"	"evidence_pr"	"evidence_pr_title"	"evidence_merged_at"	"current_target"	"current_target_identity"	"current_owner_change_commit"	"current_owner_evidence_kind"	"current_owner_evidence_commit"	"current_owner_evidence_pr"	"current_owner_evidence_pr_title"	"current_owner_evidence_merged_at"	"current_owner_change_subject"	"source_change_subject"	"verification_method"
"PRRT_kwDOR3YK5M6CWWKm"	"2026-05-15T12:00:15Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/28#discussion_r3248019629"	"src/amd/terascale/vulkan/terakan_draw.c"	"365"	"update attachment layer state inside each multiview draw"	"unassessed"	""	"resolved"	"same-source"	"d9688680556331f1560d83c182385017c5b166c8"	"merged-pr"	"5b110c89bd876c01b043e428f5bfbcc16c3c9902"	"1977"	"Dirty Terakan view index only on value changes"	"2026-08-28T06:21:14Z"	"src/amd/terascale/vulkan/terakan_draw.c"	"fd771aed27c4348844c2ca5f4fbc2dc1955a4f4d"	"d9688680556331f1560d83c182385017c5b166c8"	"merged-pr"	"5b110c89bd876c01b043e428f5bfbcc16c3c9902"	"1977"	"Dirty Terakan view index only on value changes"	"2026-08-28T06:21:14Z"	"terakan: dirty view index only on value changes"	"terakan: dirty view index only on value changes"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6ChBF4"	"2026-05-16T02:25:34Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/46#discussion_r3251852166"	"src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c"	"520"	"index dynamic robustness loads by vec4 row"	"unassessed"	""	"resolved"	"same-source"	"9cb2fd96034fe24328e899e277f1b75e3683a5aa"	"merged-pr"	"9cb2fd96034fe24328e899e277f1b75e3683a5aa"	"1860"	"terakan: unify robustness metadata identity and binding order"	"2026-08-26T19:45:59Z"	"src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c"	"d5f31250236868f0f8f61a27d71d5f73f72a5821"	"9cb2fd96034fe24328e899e277f1b75e3683a5aa"	"merged-pr"	"9cb2fd96034fe24328e899e277f1b75e3683a5aa"	"1860"	"terakan: unify robustness metadata identity and binding order"	"2026-08-26T19:45:59Z"	"terakan: unify robustness metadata identity and binding order"	"terakan: unify robustness metadata identity and binding order"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6C_gYg"	"2026-05-18T22:44:41Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/99#discussion_r3262626421"	"src/amd/terascale/vulkan/terakan_dmabuf_carrier.c"	"90"	"the carrier policy reason string claims the non palm default is native noop legacy for every other terakan chip family but then lists only a subset missing at least chip hemlock chip barts chip turks chip caicos which are also recogn"	"unassessed"	""	"resolved"	"same-source"	"78a1d9807520e55245a5ae69cd37cf444d4b63df"	"direct-main"	"78a1d9807520e55245a5ae69cd37cf444d4b63df"	""	""	""	"src/amd/terascale/vulkan/terakan_dmabuf_carrier.c"	"66ba33acffeebe0621eec8cbf6c3313c999271ce"	"78a1d9807520e55245a5ae69cd37cf444d4b63df"	"direct-main"	"78a1d9807520e55245a5ae69cd37cf444d4b63df"	""	""	""	"r600/terakan: keep Palm CMPXCHG policy conservative"	"r600/terakan: keep Palm CMPXCHG policy conservative"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6LaOsk"	"2026-06-22T22:06:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3455720534"	"src/gallium/auxiliary/vl/tests/vl_h264_slice_parser_test.c"	"87"	"trim the next annex b start code from the fixture"	"unassessed"	""	"resolved"	"same-source"	"dd22254f7264944cfb030a2af5778153d4866a18"	"merged-pr"	"9bf95092dac2e299297c08efb4e6559013d93466"	"2014"	"vl: preserve H.264 table continuations and reject MBAFF"	"2026-08-29T00:19:04Z"	"src/gallium/auxiliary/vl/tests/vl_h264_slice_parser_test.c"	"2e22e6653833c64d459bb070ea50f492f6b32434"	"dd22254f7264944cfb030a2af5778153d4866a18"	"merged-pr"	"9bf95092dac2e299297c08efb4e6559013d93466"	"2014"	"vl: preserve H.264 table continuations and reject MBAFF"	"2026-08-29T00:19:04Z"	"vl: preserve H.264 table continuations and reject MBAFF"	"vl: preserve H.264 table continuations and reject MBAFF"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6LaOsq"	"2026-06-22T22:06:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3455720541"	"src/gallium/auxiliary/vl/vl_h264_slice_parser.c"	"201"	"use the va supplied active reference count"	"unassessed"	""	"resolved"	"same-source"	"dd22254f7264944cfb030a2af5778153d4866a18"	"merged-pr"	"9bf95092dac2e299297c08efb4e6559013d93466"	"2014"	"vl: preserve H.264 table continuations and reject MBAFF"	"2026-08-29T00:19:04Z"	"src/gallium/auxiliary/vl/vl_h264_slice_parser.c"	"280186970fbe79c549f32f4a314822c4b6a329b8"	"dd22254f7264944cfb030a2af5778153d4866a18"	"merged-pr"	"9bf95092dac2e299297c08efb4e6559013d93466"	"2014"	"vl: preserve H.264 table continuations and reject MBAFF"	"2026-08-29T00:19:04Z"	"vl: preserve H.264 table continuations and reject MBAFF"	"vl: preserve H.264 table continuations and reject MBAFF"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6L_w9G"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309017"	"src/gallium/auxiliary/vl/vl_h264_cavlc_tables.h"	"7"	"keep cavlc table generation inside mesa"	"unassessed"	""	"resolved"	"same-source"	"73eadf37c905617e1101174fc290ef63236d63e3"	"merged-pr"	"ffe5e9b5c04c21c500b64cec8fd442b8613a7586"	"2009"	"vl: make H.264 field admission and CAVLC regeneration explicit"	"2026-08-28T21:56:03Z"	"src/gallium/auxiliary/vl/vl_h264_cavlc_tables.h"	"f0234984a9a1152a487aeb38381270b7ac2883cd"	"73eadf37c905617e1101174fc290ef63236d63e3"	"merged-pr"	"ffe5e9b5c04c21c500b64cec8fd442b8613a7586"	"2009"	"vl: make H.264 field admission and CAVLC regeneration explicit"	"2026-08-28T21:56:03Z"	"vl: keep H.264 CAVLC regeneration inside Mesa"	"vl: keep H.264 CAVLC regeneration inside Mesa"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6L_w9U"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309034"	"src/gallium/auxiliary/vl/vl_h264_mb_decode.c"	"212"	"copy slice deblock controls into each contract"	"unassessed"	""	"resolved"	"same-source"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"merged-pr"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"1193"	"treewide: drop the invented project copyright line from file headers"	"2026-07-25T09:57:42Z"	"src/gallium/auxiliary/vl/vl_h264_mb_decode.c"	"8c59fd7aadbb05089d7ed243c3088a59b882cb52"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"merged-pr"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"1193"	"treewide: drop the invented project copyright line from file headers"	"2026-07-25T09:57:42Z"	"treewide: drop the invented project copyright line from file headers (#1193)"	"treewide: drop the invented project copyright line from file headers (#1193)"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6L_w9Y"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309038"	"src/gallium/auxiliary/vl/vl_h264_mb_decode.c"	"212"	"mark native intra macroblocks with unused references"	"unassessed"	""	"resolved"	"same-source"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"merged-pr"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"1193"	"treewide: drop the invented project copyright line from file headers"	"2026-07-25T09:57:42Z"	"src/gallium/auxiliary/vl/vl_h264_mb_decode.c"	"8c59fd7aadbb05089d7ed243c3088a59b882cb52"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"merged-pr"	"7ebfcd97fad26caec2b1c177c661730fad1d1b5a"	"1193"	"treewide: drop the invented project copyright line from file headers"	"2026-07-25T09:57:42Z"	"treewide: drop the invented project copyright line from file headers (#1193)"	"treewide: drop the invented project copyright line from file headers (#1193)"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6L_w9c"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309043"	"src/gallium/auxiliary/vl/vl_h264_slice_parser.c"	"187"	"reject field coded slices before raster decoding"	"unassessed"	""	"resolved"	"same-source"	"dd22254f7264944cfb030a2af5778153d4866a18"	"merged-pr"	"9bf95092dac2e299297c08efb4e6559013d93466"	"2014"	"vl: preserve H.264 table continuations and reject MBAFF"	"2026-08-29T00:19:04Z"	"src/gallium/auxiliary/vl/vl_h264_slice_parser.c"	"280186970fbe79c549f32f4a314822c4b6a329b8"	"dd22254f7264944cfb030a2af5778153d4866a18"	"merged-pr"	"9bf95092dac2e299297c08efb4e6559013d93466"	"2014"	"vl: preserve H.264 table continuations and reject MBAFF"	"2026-08-29T00:19:04Z"	"vl: preserve H.264 table continuations and reject MBAFF"	"vl: preserve H.264 table continuations and reject MBAFF"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
"PRRT_kwDOR3YK5M6X3byR"	"2026-08-10T12:26:10Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1305#discussion_r3749439672"	"src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py"	"58"	"verify that wsi failures reach fail device"	"unassessed"	""	"resolved"	"same-source"	"e8a8180a26d2c225dd529b97c7fd7d0a0e5b423e"	"merged-pr"	"b8aab74650599b063df3eef1480938a0e419b74f"	"2015"	"terakan: calibrate softfp64 failure-edge contract"	"2026-08-29T00:28:58Z"	"src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py"	"a8b770282cd05718bcc4885ed0db0015475053ae"	"e8a8180a26d2c225dd529b97c7fd7d0a0e5b423e"	"merged-pr"	"b8aab74650599b063df3eef1480938a0e419b74f"	"2015"	"terakan: calibrate softfp64 failure-edge contract"	"2026-08-29T00:28:58Z"	"terakan: calibrate softfp64 failure-edge mutants"	"terakan: calibrate softfp64 failure-edge mutants"	"Exact GitHub thread re-query plus resolution-source and current-source ancestry at the recorded target identity"
