thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6Tw9uC	merge-subject-suffix-policy-retirement	P1	governance	merge-subject-suffix-policy-retirement	The reviewed merge-suffix paragraph is absent, and the current durable-naming rules express mechanism-only subjects without its contrast and negation structure	closed	Inspect current commit-subject and owned-origin publication rules for the retired suffix paragraph	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Actor-dependent or absence-framed merge-suffix guidance returns as a load-bearing rule	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6Tw9uE	merge-subject-actor-policy-retirement	P1	governance	merge-subject-actor-policy-retirement	The actor-dependent merge-suffix distinction is absent; current policy assigns durable identity by mechanism and confines forge workflow state to metadata	closed	Search current publication guidance for actor-dependent commit-subject remediation	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current subject policy again makes an author, model, or forge identity control remediation	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6Tw9uF	agents-commit-subject-prefix	P1	governance	agents-commit-subject-prefix	Merged guidance history uses the agents component prefix and the current rule requires mechanism-centered component identity in commit subjects	closed	Inspect the successor guidance commit subject and current durable-name policy	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A new guidance commit lands with no searchable component identity	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6TxVhn	amd-vulkan-driver-scope-description	P2	governance	amd-vulkan-driver-scope-description	The guidance names Terakan and R3V as the two fork-specific out-of-Gallium Vulkan drivers, which preserves RADV's distinct AMD Vulkan root	closed	Inspect the fork-specific scope qualifier and the three AMD Vulkan source roots	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A reader can still infer that Terakan and R3V are Mesa's only AMD Vulkan drivers	fixed	a658cfdaed0260b20491c89e7e5710ced3ca1fb4
PRRT_kwDOR3YK5M6TxcMU	headless-gl-target-render-node-identity	P1	hardware-runner	headless-gl-target-render-node-identity	The procedure resolves one render node from TARGET_PCI_BDF, verifies its sysfs device identity, and requires matching DRI_PRIME loader-selection and renderer observations	closed	Inspect the target render-node derivation and both GBM admission checks	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A multi-GPU host can produce accepted evidence from a non-target render node	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6TxcMY	headless-xorg-config-ownership	P2	hardware-runner	headless-xorg-config-ownership	The X path generates a complete modesetting and glamor configuration from the validated target PCI BDF inside the retained evidence directory	closed	Inspect the generated target-scoped Xorg configuration and its launch path	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A fresh checkout requires the operator to invent the Xorg configuration	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6TxcMa	headless-piglit-privilege-separation	P1	hardware-runner	headless-piglit-privilege-separation	The procedure confines sudo to kernel-log capture and Xorg lifecycle commands while Piglit retains the unprivileged Mesa loader environment	closed	Inspect the privilege boundary around dmesg, Piglit, and Xorg lifecycle commands	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The documented flow can execute Piglit as root or without its intended loader variables	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6TxcMe	headless-display-manager-session-survival	P1	hardware-runner	headless-display-manager-session-survival	The procedure admits only an SSH or independent text-VT control session and retains the display-manager restoration command before shutdown	closed	Inspect the control-session admission and retained restoration command	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Stopping the display manager can still terminate the shell that must launch and restore the test session	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6TxcMh	headless-xorg-pid-scoped-teardown	P2	hardware-runner	headless-xorg-pid-scoped-teardown	Each run persists a 128-bit systemd unit name, InvocationID, and MainPID; teardown stops that unit and ten calibrated paths reject replacement, reuse, malformed identity, timeout, and direct signaling	closed	Run the headless lifecycle calibration and inspect the unit-scoped stop contract	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Teardown can match an unrelated X server or its invoking command	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6TxcMj	project-prose-emoji-scope-policy	P2	governance	project-prose-emoji-scope-policy	The reviewed all-checked-in-text claim was replaced by a project-authored documentation rule that preserves functional symbols and upstream content	closed	Inspect the current emoji boundary and its preserved-content clauses	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current policy again declares every tracked upstream and functional text byte emoji-free	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6TxcMn	headless-window-system-test-routing	P1	hardware-runner	headless-window-system-test-routing	The procedure routes every GLX, EGL-X11, Xlib, XCB, protocol, context, visual, drawable, and default-framebuffer case through the X provider	closed	Inspect the explicit X-window-system routing domain	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A GLX protocol, context, visual, or drawable test can still be treated as GBM coverage	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6TxcMq	headless-render-node-permission-preflight	P2	hardware-runner	headless-render-node-permission-preflight	The render-node preflight records mode and ACL state, requires read-write checks plus an actual read-write open, and names group or target-ACL remediation	closed	Inspect the permission evidence and actual render-node open gate	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A headless user reaches the test command without permission to open the selected render node	fixed	20286a21d04942790561bc931ea332eb59b6214b
